球隊,經度,緯度,,,,,,,,,,
道奇,-118,34.073851,,,,,,,,,,
紅雀,-90,38.622619,,,,,,,,,,
洋基,-74,40.829643,,,,,,,,,,
巨人,-122,37.778595,,,,,,,,,,
小熊,-88,41.948438,,,,,,,,,,
天使,-118,33.800308,,,,,,,,,,
落磯,-105,39.755882,,,,,,,,,,
太空人,-95,29.757269,,,,,,,,,,
紅襪,-71,42.346676,,,,,,,,,,
釀酒人,-88,43.027978,,,,,,,,,,
勇士,-84,33.890785,,,,,,,,,,
大都會,-74,40.757088,,,,,,,,,,
國民,-77,38.87301,,,,,,,,,,
藍鳥,-79,43.641438,,,,,,,,,,
遊騎兵,-97,32.751215,,,,,,,,,,
響尾蛇,-112,33.445526,,,,,,,,,,
教士,-117,32.707656,,,,,,,,,,
費城人,-75,39.906057,,,,,,,,,,
水手,-122,47.591403,,,,,,,,,,
雙城,-93,44.981766,,,,,,,,,,
老虎,-83,42.338998,,,,,,,,,,
金鶯,-77,39.284018,,,,,,,,,,
皇家,-94,39.051672,,,,,,,,,,
印地安人,-82,41.496211,,,,,,,,,,
紅人,-85,39.097931,,,,,,,,,,
白襪,-88,41.829902,,,,,,,,,,
海盜,-80,40.446855,,,,,,,,,,
運動家,-122,37.751595,,,,,,,,,,
光芒,-83,27.768225,,,,,,,,,,
馬林魚,-80,25.778318,,,,,,,,,,
,,,,,,,,,,,,
